
i	species	reactions	exch_r	blocked_r	metabolites	mu_western	mu_highfib	excr_western	excr_highfib
0  	Parasutterella_excrementihominis_YIT_11859.mat                                                      	1080	 447	 112	1019	0.013	0.011	   9	   8	
1  	Bifidobacterium_longum_NCC2705.mat                                                                  	 900	 307	 118	 846	0.104	0.098	  10	  10	
2  	Corynebacterium_striatum_ATCC_6940.mat                                                              	1266	 376	 127	1113	0.391	0.229	  18	  16	
3  	Lactobacillus_fermentum_IFO_3956.mat                                                                	1089	 320	 112	 981	0.145	0.096	  13	  11	
4  	Actinomyces_odontolyticus_ATCC_17982.mat                                                            	 854	 330	 105	 793	0.198	0.143	  12	  12	
5  	Listeria_monocytogenes_SLCC_2378.mat                                                                	1326	 323	 142	1104	0.261	0.196	  12	  12	
6  	Lysinibacillus_fusiformis_ZB2.mat                                                                   	1498	 523	 155	1275	0.213	0.185	  11	  11	
7  	Paracoccus_yeei_ATCC_BAA_599.mat                                                                    	1533	 488	 165	1296	0.508	0.437	  12	  13	
8  	Campylobacter_showae_CSUNSWCD.mat                                                                   	1017	 385	  98	 938	0.008	0.008	   7	   7	
9  	Eubacterium_dolichum_DSM_3991.mat                                                                   	 778	 319	  97	 768	0.329	0.138	   9	   9	
10 	Capnocytophaga_ochracea_DSM_7271.mat                                                                	1045	 355	  93	 952	0.237	0.208	  13	  13	
11 	Propionibacterium_granulosum_DSM_20700.mat                                                          	1169	 448	 145	1082	0.364	0.314	  11	  12	
12 	Leminorella_grimontii_ATCC_33999.mat                                                                	1453	 398	 154	1237	0.456	0.396	  13	  13	
13 	Lachnospiraceae_bacterium_sp_5_1_63FAA.mat                                                          	1093	 517	  97	1021	0.197	0.122	   7	   6	
14 	Bacteroides_sp_9_1_42FAA.mat                                                                        	1214	 434	 122	1069	0.256	0.228	  10	  10	
15 	Butyricimonas_synergistica_DSM_23225.mat                                                            	1187	 416	 105	1090	0.326	0.326	  16	  14	
16 	Pseudomonas_oleovorans_MOIL14HWK12.mat                                                              	1643	 491	 172	1387	0.311	0.270	  17	  16	
17 	Paenibacillus_graminis_C4D1M.mat                                                                    	1769	 517	 197	1426	1.045	0.764	  11	  13	
18 	Bacillus_altitudinis_41KF2b.mat                                                                     	1603	 516	 172	1314	0.373	0.248	  15	  14	
