i	species	reactions	cyto_r	exch_r	blocked_r	metabolites	mu	n_excr
1  	S1_minglc_871_04-11-2021.xml                                                                        	2163	 871	1270	 313	5616	4.967	  10	
2  	S2_minglc_871_04-11-2021.xml                                                                        	2163	 871	1286	 313	5616	12.496	  15	
3  	S3_minglc_871_04-11-2021.xml                                                                        	2163	 871	1244	 313	5616	9.383	   8	
4  	S4_minglc_871_04-11-2021.xml                                                                        	2163	 871	1281	 313	5616	12.787	   8	
5  	S5_minglc_871_04-11-2021.xml                                                                        	2163	 871	1287	 313	5616	12.443	   6	
6  	S6_minglc_871_04-11-2021.xml                                                                        	2163	 871	1241	 313	5616	2.323	  10	
7  	S7_minglc_871_04-11-2021.xml                                                                        	2163	 871	1203	 313	5616	3.451	   7	
8  	S8_minglc_871_04-11-2021.xml                                                                        	2163	 871	1294	 313	5616	13.425	  11	
9  	S9_minglc_871_04-11-2021.xml                                                                        	2163	 871	1264	 313	5616	23.098	  11	
10 	S10_minglc_871_04-11-2021.xml                                                                       	2163	 871	1240	 313	5616	4.210	  12	
11 	S11_minglc_871_04-11-2021.xml                                                                       	2163	 871	1281	 313	5616	22.311	  11	
12 	S12_minglc_871_04-11-2021.xml                                                                       	2163	 871	1300	 313	5616	13.096	   8	
13 	S13_minglc_871_04-11-2021.xml                                                                       	2163	 871	1304	 313	5616	4.551	  12	
14 	S14_minglc_871_04-11-2021.xml                                                                       	2163	 871	1226	 313	5616	7.004	  14	
15 	S15_minglc_871_04-11-2021.xml                                                                       	2163	 871	1273	 313	5616	2.695	  10	
16 	S16_minglc_871_04-11-2021.xml                                                                       	2163	 871	1253	 313	5616	13.456	   8	
17 	S17_minglc_871_04-11-2021.xml                                                                       	2163	 871	1277	 313	5616	14.607	  11	
18 	S18_minglc_871_04-11-2021.xml                                                                       	2163	 871	1251	 313	5616	4.948	  14	
19 	S19_minglc_871_04-11-2021.xml                                                                       	2163	 871	1289	 313	5616	9.152	  15	
20 	S20_minglc_871_04-11-2021.xml                                                                       	2163	 871	1217	 313	5616	10.995	  12	
21 	S21_minglc_871_04-11-2021.xml                                                                       	2163	 871	1250	 313	5616	5.286	   9	
22 	S22_minglc_871_04-11-2021.xml                                                                       	2163	 871	1239	 313	5616	12.924	  11	
23 	S23_minglc_871_04-11-2021.xml                                                                       	2163	 871	1251	 313	5616	6.482	  10	
24 	S24_minglc_871_04-11-2021.xml                                                                       	2163	 871	1254	 313	5616	5.306	  12	
25 	S25_minglc_871_04-11-2021.xml                                                                       	2163	 871	1268	 313	5616	18.773	  11	
26 	S26_minglc_871_04-11-2021.xml                                                                       	2163	 871	1270	 313	5616	14.006	  13	
27 	S27_minglc_871_04-11-2021.xml                                                                       	2163	 871	1279	 313	5616	6.676	  13	
28 	S28_minglc_871_04-11-2021.xml                                                                       	2163	 871	1271	 313	5616	13.435	  18	
29 	S29_minglc_871_04-11-2021.xml                                                                       	2163	 871	1269	 313	5616	5.529	  11	
30 	S30_minglc_871_04-11-2021.xml                                                                       	2163	 871	1288	 313	5616	17.385	   9	
31 	S31_minglc_871_04-11-2021.xml                                                                       	2163	 871	1240	 313	5616	7.048	  12	
32 	S32_minglc_871_04-11-2021.xml                                                                       	2163	 871	1267	 313	5616	14.861	  11	
33 	S33_minglc_871_04-11-2021.xml                                                                       	2163	 871	1280	 313	5616	10.041	  10	
34 	S34_minglc_871_04-11-2021.xml                                                                       	2163	 871	1276	 313	5616	24.030	  12	
35 	S35_minglc_871_04-11-2021.xml                                                                       	2163	 871	1230	 313	5616	25.695	  14	
36 	S36_minglc_871_04-11-2021.xml                                                                       	2163	 871	1246	 313	5616	24.913	   8	
37 	S37_minglc_871_04-11-2021.xml                                                                       	2163	 871	1212	 313	5616	12.350	  11	
38 	S38_minglc_871_04-11-2021.xml                                                                       	2163	 871	1239	 313	5616	25.113	  12	
39 	S39_minglc_871_04-11-2021.xml                                                                       	2163	 871	1297	 313	5616	6.906	  14	
40 	S40_minglc_871_04-11-2021.xml                                                                       	2163	 871	1276	 313	5616	6.356	   8	
41 	S41_minglc_871_04-11-2021.xml                                                                       	2163	 871	1199	 313	5616	22.963	  12	
42 	S42_minglc_871_04-11-2021.xml                                                                       	2163	 871	1261	 313	5616	7.640	  15	
43 	S43_minglc_871_04-11-2021.xml                                                                       	2163	 871	1299	 313	5616	11.732	  10	
44 	S44_minglc_871_04-11-2021.xml                                                                       	2163	 871	1308	 313	5616	8.409	  12	
